,last,high,low,lowestAsk,highestBid,percentChange,baseVolume,quoteVolume,time,second,minute,hour,week_day,week_number,month
4430,0.000193879866956145,0.0002,0.00018732000000037,0.000193734000526682,0.000187710674788614,-1.42169509,127.94199554832159393,659857.950439445145452249,1552497660.0,0,21,20,2,3,3
4490,0.000193879866956145,0.0002,0.00018732000000037,0.000193734000526682,0.000187710674788614,-1.42169509,127.94199554832159393,659857.950439445145452249,1552497720.0,0,22,20,2,3,3
4552,0.000193879866956145,0.0002,0.00018732000000037,0.000193734000526682,0.000187710674788614,-1.42169509,127.94199554832159393,659857.950439445145452249,1552497781.0,1,23,20,2,3,3
4613,0.000193879866956145,0.0002,0.00018732000000037,0.000193639654402704,0.000187729446700813,-1.42169509,127.94199554832159393,659857.950439445145452249,1552497840.0,0,24,20,2,3,3
4673,0.000193879866956145,0.0002,0.00018732000000037,0.000193639654402704,0.000187729446700813,-1.42169509,127.94199554832159393,659857.950439445145452249,1552497900.0,0,25,20,2,3,3
4734,0.000193879866956145,0.0002,0.00018732000000037,0.000193639654402704,0.000187729446700813,-1.42169509,127.94199554832159393,659857.950439445145452249,1552497960.0,0,26,20,2,3,3
4794,0.000193879866956145,0.0002,0.00018732000000037,0.0001934897786743,0.00018774258815632,-1.42169509,127.94199554832159393,659857.950439445145452249,1552498020.0,0,27,20,2,3,3
4855,0.000193879866956145,0.0002,0.00018732000000037,0.000193436088812789,0.000187746343026858,-1.42169509,127.94199554832159393,659857.950439445145452249,1552498080.0,0,28,20,2,3,3
4915,0.000193879866956145,0.0002,0.00018732000000037,0.000193436088812789,0.000187746343026858,-1.42169509,127.94199554832159393,659857.950439445145452249,1552498140.0,0,29,20,2,3,3
4977,0.000193879866956145,0.0002,0.00018732000000037,0.000193295717602867,0.000187755730531758,-1.42169509,127.94199554832159393,659857.950439445145452249,1552498200.0,0,30,20,2,3,3
5037,0.000193879866956145,0.0002,0.00018732000000037,0.0001932140400975,0.000187759485665144,-1.42169509,127.94199554832159393,659857.950439445145452249,1552498260.0,0,31,20,2,3,3
5097,0.000193879866956145,0.0002,0.00018732000000037,0.0001932140400975,0.000187759485665144,-1.42169509,127.94199554832159393,659857.950439445145452249,1552498320.0,0,32,20,2,3,3
5157,0.000193879866956145,0.0002,0.00018732000000037,0.000193064704093746,0.00018776887382719,-1.42169509,127.94199554832159393,659857.950439445145452249,1552498380.0,0,33,20,2,3,3
5218,0.000193879866956145,0.0002,0.00018732000000037,0.000193064704093746,0.00018776887382719,-1.42169509,127.94199554832159393,659857.950439445145452249,1552498440.0,0,34,20,2,3,3
5279,0.000193879866956145,0.0002,0.00018732000000037,0.000192890801998139,0.000187778262458652,-1.42169509,127.94199554832159393,659857.950439445145452249,1552498500.0,0,35,20,2,3,3
5339,0.000193879866956145,0.0002,0.00018732000000037,0.000192890801998139,0.000187778262458652,-1.42169509,127.94199554832159393,659857.950439445145452249,1552498560.0,0,36,20,2,3,3
5401,0.000193879866956145,0.0002,0.00018732000000037,0.00019274669926586,0.000187787651559555,-1.42169509,127.94199554832159393,659857.950439445145452249,1552498621.0,1,37,20,2,3,3
5462,0.000193879866956145,0.0002,0.00018732000000037,0.00019274669926586,0.000187787651559555,-1.42169509,127.94199554832159393,659857.950439445145452249,1552498680.0,0,38,20,2,3,3
5523,0.000193879866956145,0.0002,0.00018732000000037,0.000192588867271768,0.000187798919100333,-1.42169509,127.94199554832159393,659857.950439445145452249,1552498740.0,0,39,20,2,3,3
5584,0.000193879866956145,0.0002,0.00018732000000037,0.000192588867271768,0.000187798919100333,-1.42169509,127.94199554832159393,659857.950439445145452249,1552498800.0,0,40,20,2,3,3
5645,0.000193879866956145,0.0002,0.00018732000000037,0.000192469214446534,0.000187810187317181,-1.42169509,127.94199554832159393,659857.950439445145452249,1552498860.0,0,41,20,2,3,3
5706,0.000193879866956145,0.0002,0.00018732000000037,0.000192378862078109,0.000187684397266,-1.42169509,127.94199554832159393,659857.950439445145452249,1552498920.0,0,42,20,2,3,3
5766,0.000193879866956145,0.0002,0.00018732000000037,0.00019232615108826,0.000187819578014358,-1.42169509,127.94199554832159393,659857.950439445145452249,1552498980.0,0,43,20,2,3,3
5828,0.000193879866956145,0.0002,0.00018732000000037,0.000192256319953364,0.000187825212658044,-1.42169509,127.94199554832159393,659857.950439445145452249,1552499040.0,0,44,20,2,3,3
5888,0.000193879866956145,0.0002,0.00018732000000037,0.000192256319953364,0.000187825212658044,-1.42169509,127.94199554832159393,659857.950439445145452249,1552499100.0,0,45,20,2,3,3
5950,0.000193879866956145,0.0002,0.00018732000000037,0.000192121295668088,0.000187836482452546,-1.42169509,127.94199554832159393,659857.950439445145452249,1552499160.0,0,46,20,2,3,3
6010,0.000193879866956145,0.0002,0.00018732000000037,0.000192046524805197,0.000187842117603371,-1.42169509,127.94199554832159393,659857.950439445145452249,1552499220.0,0,47,20,2,3,3
6071,0.000193879866956145,0.0002,0.00018732000000037,0.000192010588637644,0.000187684397266,-1.42169509,127.94199554832159393,659857.950439445145452249,1552499280.0,0,48,20,2,3,3
6132,0.000193879866956145,0.0002,0.00018732000000037,0.000191922354316962,0.000187851509897095,-1.42169509,127.94199554832159393,659857.950439445145452249,1552499340.0,0,49,20,2,3,3
6193,0.000193879866956145,0.0002,0.00018732000000037,0.000191922354316962,0.000187851509897095,-1.42169509,127.94199554832159393,659857.950439445145452249,1552499400.0,0,50,20,2,3,3
6255,0.000193879866956145,0.0002,0.00018732000000037,0.000191770473690709,0.00018786278126947,-1.42169509,127.94199554832159393,659857.950439445145452249,1552499460.0,0,51,20,2,3,3
6315,0.000193879866956145,0.0002,0.00018732000000037,0.000191713935391355,0.000187868417209267,-1.42169509,127.94199554832159393,659857.950439445145452249,1552499520.0,0,52,20,2,3,3
6377,0.000193879866956145,0.0002,0.00018732000000037,0.000191713935391355,0.000187868417209267,-1.42169509,127.94199554832159393,659857.950439445145452249,1552499580.0,0,53,20,2,3,3
6437,0.000193879866956145,0.0002,0.00018732000000037,0.000191713935391355,0.000187868417209267,-1.42169509,127.94199554832159393,659857.950439445145452249,1552499640.0,0,54,20,2,3,3
6498,0.000193879866956145,0.0002,0.00018732000000037,0.000191713935391355,0.000187868417209267,-1.42169509,127.94199554832159393,659857.950439445145452249,1552499700.0,0,55,20,2,3,3
6558,0.000193879866956145,0.0002,0.00018732000000037,0.00019146524711931,0.000187684397266,-1.42169509,127.94199554832159393,659857.950439445145452249,1552499760.0,0,56,20,2,3,3
6618,0.000193879866956145,0.0002,0.00018732000000037,0.00019146524711931,0.000187684397266,-1.42169509,127.94199554832159393,659857.950439445145452249,1552499820.0,0,57,20,2,3,3
6680,0.000193879866956145,0.0002,0.00018732000000037,0.000194409597488004,0.000187708797701638,-1.42169509,127.94199554832159393,659857.950439445145452249,1552499880.0,0,58,20,2,3,3
6741,0.000193879866956145,0.0002,0.00018732000000037,0.000194368938744486,0.000187714429021882,-1.42169509,127.94199554832159393,659857.950439445145452249,1552499940.0,0,59,20,2,3,3
6800,0.000193879866956145,0.0002,0.00018732000000037,0.000194368938744486,0.000187714429021882,-1.42169509,127.94199554832159393,659857.950439445145452249,1552500000.0,0,0,21,2,3,3
6861,0.000193879866956145,0.0002,0.00018732000000037,0.000194222983361222,0.000187725692169198,-1.42169509,127.94199554832159393,659857.950439445145452249,1552500060.0,0,1,21,2,3,3
6922,0.000193879866956145,0.0002,0.00018732000000037,0.000194222983361222,0.000187725692169198,-1.42169509,127.94199554832159393,659857.950439445145452249,1552500120.0,0,2,21,2,3,3
6984,0.000193879866956145,0.0002,0.00018732000000037,0.000194222983361222,0.000187725692169198,-1.42169509,127.94199554832159393,659857.950439445145452249,1552500180.0,0,3,21,2,3,3
7044,0.000193879866956145,0.0002,0.00018732000000037,0.000193997004659023,0.000187684397266,-1.42169509,127.94199554832159393,659857.950439445145452249,1552500240.0,0,4,21,2,3,3
7105,0.000193879866956145,0.0002,0.00018732000000037,0.000193997004659023,0.000187684397266,-1.42169509,127.94199554832159393,659857.950439445145452249,1552500300.0,0,5,21,2,3,3
7167,0.000193879866956145,0.0002,0.00018732000000037,0.000193997004659023,0.000187684397266,-1.42169509,127.94199554832159393,659857.950439445145452249,1552500360.0,0,6,21,2,3,3
7222,0.000193879866956145,0.0002,0.00018732000000037,0.000193997004659023,0.000187684397266,-1.42169509,127.94199554832159393,659857.950439445145452249,1552500420.0,0,7,21,2,3,3
7283,0.000193879866956145,0.0002,0.00018732000000037,0.000193761025743691,0.000187773241076178,-1.42169509,127.94199554832159393,659857.950439445145452249,1552500480.0,0,8,21,2,3,3
7343,0.000193879866956145,0.0002,0.00018732000000037,0.000193761025743691,0.000187773241076178,-1.42169509,127.94199554832159393,659857.950439445145452249,1552500540.0,0,9,21,2,3,3
